Barcode ID,Weathering,NSP,pc
Elephantidae,1,13,20.634920634920633
Elephantidae,2,22,34.92063492063492
Elephantidae,3,17,26.984126984126984
Elephantidae,4,8,12.698412698412698
Elephantidae,5,3,4.761904761904762
Rhinocerotidae,2,1,50
Rhinocerotidae,4,1,50
Equidae,0,3,6.122448979591836
Equidae,1,16,32.6530612244898
Equidae,2,13,26.53061224489796
Equidae,3,15,30.612244897959183
Equidae,4,2,4.081632653061225
Reindeer,0,47,10.955710955710956
Reindeer,1,166,38.6946386946387
Reindeer,2,109,25.407925407925408
Reindeer,3,95,22.144522144522146
Reindeer,4,12,2.797202797202797
Cervid/Saiga,0,1,33.33333333333333
Cervid/Saiga,1,1,33.33333333333333
Cervid/Saiga,2,1,33.33333333333333
Bos/Bison,1,8,53.333333333333336
Bos/Bison,2,1,6.666666666666667
Bos/Bison,3,5,33.33333333333333
Bos/Bison,4,1,6.666666666666667
Bovidae/Reindeer,0,3,15
Bovidae/Reindeer,1,6,30
Bovidae/Reindeer,2,6,30
Bovidae/Reindeer,3,3,15
Bovidae/Reindeer,4,2,10
unidentified,0,17,14.655172413793101
unidentified,1,35,30.17241379310345
unidentified,2,29,25
unidentified,3,24,20.689655172413794
unidentified,4,9,7.758620689655173
unidentified,5,2,1.7241379310344827
NA,0,5,7.8125
NA,1,20,31.25
NA,2,20,31.25
NA,3,10,15.625
NA,4,9,14.0625
